CRE;type candidature;genre;annee_naissance;Effectif_Admis
Tunis 1;Public;Masculin;2008 et avant;1
Tunis 1;Public;Masculin;2009;279
Tunis 1;Public;Masculin;2010 et après;22
Tunis 1;Public;Feminin;2008 et avant;3
Tunis 1;Public;Feminin;2009;449
Tunis 1;Public;Feminin;2010 et après;40
Tunis 1;Privé;Masculin;2009;137
Tunis 1;Privé;Masculin;2010 et après;14
Tunis 1;Privé;Feminin;2008 et avant;1
Tunis 1;Privé;Feminin;2009;164
Tunis 1;Privé;Feminin;2010 et après;17
Tunis 1;Libre;Feminin;2009;1
Tunis 2;Public;Masculin;2009;225
Tunis 2;Public;Masculin;2010 et après;30
Tunis 2;Public;Feminin;2008 et avant;1
Tunis 2;Public;Feminin;2009;354
Tunis 2;Public;Feminin;2010 et après;37
Tunis 2;Privé;Masculin;2008 et avant;1
Tunis 2;Privé;Masculin;2009;82
Tunis 2;Privé;Masculin;2010 et après;5
Tunis 2;Privé;Feminin;2008 et avant;1
Tunis 2;Privé;Feminin;2009;113
Tunis 2;Privé;Feminin;2010 et après;16
Ariana;Public;Masculin;2008 et avant;4
Ariana;Public;Masculin;2009;254
Ariana;Public;Masculin;2010 et après;23
Ariana;Public;Feminin;2009;395
Ariana;Public;Feminin;2010 et après;33
Ariana;Privé;Masculin;2009;94
Ariana;Privé;Masculin;2010 et après;10
Ariana;Privé;Feminin;2008 et avant;1
Ariana;Privé;Feminin;2009;121
Ariana;Privé;Feminin;2010 et après;18
Mannouba;Public;Masculin;2008 et avant;1
Mannouba;Public;Masculin;2009;171
Mannouba;Public;Masculin;2010 et après;6
Mannouba;Public;Feminin;2008 et avant;1
Mannouba;Public;Feminin;2009;331
Mannouba;Public;Feminin;2010 et après;31
Mannouba;Privé;Masculin;2009;45
Mannouba;Privé;Masculin;2010 et après;6
Mannouba;Privé;Feminin;2009;67
Mannouba;Privé;Feminin;2010 et après;9
Ben Arous;Public;Masculin;2008 et avant;1
Ben Arous;Public;Masculin;2009;369
Ben Arous;Public;Masculin;2010 et après;39
Ben Arous;Public;Feminin;2008 et avant;1
Ben Arous;Public;Feminin;2009;561
Ben Arous;Public;Feminin;2010 et après;74
Ben Arous;Privé;Masculin;2009;100
Ben Arous;Privé;Masculin;2010 et après;21
Ben Arous;Privé;Feminin;2009;118
Ben Arous;Privé;Feminin;2010 et après;19
Ben Arous;Libre;Feminin;2009;1
Zaghouan;Public;Masculin;2009;47
Zaghouan;Public;Masculin;2010 et après;2
Zaghouan;Public;Feminin;2009;123
Zaghouan;Public;Feminin;2010 et après;10
Zaghouan;Privé;Masculin;2009;8
Zaghouan;Privé;Masculin;2010 et après;1
Zaghouan;Privé;Feminin;2009;20
Zaghouan;Privé;Feminin;2010 et après;3
Bizerte;Public;Masculin;2008 et avant;1
Bizerte;Public;Masculin;2009;172
Bizerte;Public;Masculin;2010 et après;15
Bizerte;Public;Feminin;2009;379
Bizerte;Public;Feminin;2010 et après;28
Bizerte;Privé;Masculin;2008 et avant;1
Bizerte;Privé;Masculin;2009;67
Bizerte;Privé;Masculin;2010 et après;12
Bizerte;Privé;Feminin;2008 et avant;1
Bizerte;Privé;Feminin;2009;92
Bizerte;Privé;Feminin;2010 et après;19
Béja;Public;Masculin;2009;126
Béja;Public;Masculin;2010 et après;15
Béja;Public;Feminin;2009;218
Béja;Public;Feminin;2010 et après;32
Béja;Privé;Feminin;2009;2
Jendouba;Public;Masculin;2009;127
Jendouba;Public;Masculin;2010 et après;13
Jendouba;Public;Feminin;2008 et avant;1
Jendouba;Public;Feminin;2009;277
Jendouba;Public;Feminin;2010 et après;32
Siliana;Public;Masculin;2009;114
Siliana;Public;Masculin;2010 et après;8
Siliana;Public;Feminin;2008 et avant;1
Siliana;Public;Feminin;2009;169
Siliana;Public;Feminin;2010 et après;17
Le Kef;Public;Masculin;2009;92
Le Kef;Public;Masculin;2010 et après;3
Le Kef;Public;Feminin;2009;189
Le Kef;Public;Feminin;2010 et après;16
Kasserine;Public;Masculin;2009;109
Kasserine;Public;Masculin;2010 et après;11
Kasserine;Public;Feminin;2009;204
Kasserine;Public;Feminin;2010 et après;32
Kasserine;Privé;Masculin;2009;31
Kasserine;Privé;Masculin;2010 et après;6
Kasserine;Privé;Feminin;2009;53
Kasserine;Privé;Feminin;2010 et après;6
Kasserine;Libre;Feminin;2010 et après;1
Sidi Bouzid;Public;Masculin;2009;146
Sidi Bouzid;Public;Masculin;2010 et après;8
Sidi Bouzid;Public;Feminin;2009;225
Sidi Bouzid;Public;Feminin;2010 et après;24
Sidi Bouzid;Privé;Masculin;2009;36
Sidi Bouzid;Privé;Masculin;2010 et après;8
Sidi Bouzid;Privé;Feminin;2009;71
Sidi Bouzid;Privé;Feminin;2010 et après;6
Gafsa;Public;Masculin;2008 et avant;1
Gafsa;Public;Masculin;2009;141
Gafsa;Public;Masculin;2010 et après;26
Gafsa;Public;Feminin;2009;264
Gafsa;Public;Feminin;2010 et après;27
Gafsa;Privé;Masculin;2008 et avant;1
Gafsa;Privé;Masculin;2009;52
Gafsa;Privé;Masculin;2010 et après;8
Gafsa;Privé;Feminin;2009;82
Gafsa;Privé;Feminin;2010 et après;8
Tozeur;Public;Masculin;2009;34
Tozeur;Public;Masculin;2010 et après;6
Tozeur;Public;Feminin;2009;75
Tozeur;Public;Feminin;2010 et après;13
Tozeur;Privé;Masculin;2008 et avant;1
Tozeur;Privé;Masculin;2009;27
Tozeur;Privé;Masculin;2010 et après;1
Tozeur;Privé;Feminin;2009;23
Tozeur;Privé;Feminin;2010 et après;5
Kébili;Public;Masculin;2009;46
Kébili;Public;Masculin;2010 et après;5
Kébili;Public;Feminin;2009;149
Kébili;Public;Feminin;2010 et après;12
Kébili;Privé;Masculin;2009;4
Kébili;Privé;Masculin;2010 et après;2
Kébili;Privé;Feminin;2009;17
Kébili;Privé;Feminin;2010 et après;1
Tataouine;Public;Masculin;2009;41
Tataouine;Public;Masculin;2010 et après;6
Tataouine;Public;Feminin;2009;70
Tataouine;Public;Feminin;2010 et après;10
Médenine;Public;Masculin;2008 et avant;3
Médenine;Public;Masculin;2009;239
Médenine;Public;Masculin;2010 et après;26
Médenine;Public;Feminin;2009;375
Médenine;Public;Feminin;2010 et après;30
Médenine;Privé;Masculin;2008 et avant;1
Médenine;Privé;Masculin;2009;27
Médenine;Privé;Masculin;2010 et après;1
Médenine;Privé;Feminin;2009;27
Médenine;Privé;Feminin;2010 et après;1
Gabès;Public;Masculin;2008 et avant;2
Gabès;Public;Masculin;2009;164
Gabès;Public;Masculin;2010 et après;21
Gabès;Public;Feminin;2008 et avant;1
Gabès;Public;Feminin;2009;330
Gabès;Public;Feminin;2010 et après;31
Gabès;Privé;Masculin;2009;20
Gabès;Privé;Masculin;2010 et après;2
Gabès;Privé;Feminin;2009;34
Gabès;Privé;Feminin;2010 et après;3
Sfax 1;Public;Masculin;2008 et avant;1
Sfax 1;Public;Masculin;2009;310
Sfax 1;Public;Masculin;2010 et après;31
Sfax 1;Public;Feminin;2008 et avant;1
Sfax 1;Public;Feminin;2009;493
Sfax 1;Public;Feminin;2010 et après;54
Sfax 1;Privé;Masculin;2009;13
Sfax 1;Privé;Masculin;2010 et après;4
Sfax 1;Privé;Feminin;2009;15
Sfax 1;Privé;Feminin;2010 et après;1
Sfax 2;Public;Masculin;2009;166
Sfax 2;Public;Masculin;2010 et après;17
Sfax 2;Public;Feminin;2009;315
Sfax 2;Public;Feminin;2010 et après;46
Sfax 2;Privé;Masculin;2009;3
Sfax 2;Privé;Masculin;2010 et après;1
Sfax 2;Privé;Feminin;2009;4
Sfax 2;Privé;Feminin;2010 et après;4
Sfax 2;Libre;Feminin;2009;2
Mahdia;Public;Masculin;2009;140
Mahdia;Public;Masculin;2010 et après;14
Mahdia;Public;Feminin;2008 et avant;1
Mahdia;Public;Feminin;2009;253
Mahdia;Public;Feminin;2010 et après;29
Mahdia;Privé;Masculin;2008 et avant;1
Mahdia;Privé;Masculin;2009;11
Mahdia;Privé;Masculin;2010 et après;1
Mahdia;Privé;Feminin;2009;4
Mahdia;Privé;Feminin;2010 et après;3
Kairouan;Public;Masculin;2009;134
Kairouan;Public;Masculin;2010 et après;9
Kairouan;Public;Feminin;2009;214
Kairouan;Public;Feminin;2010 et après;23
Kairouan;Privé;Masculin;2008 et avant;4
Kairouan;Privé;Masculin;2009;114
Kairouan;Privé;Masculin;2010 et après;18
Kairouan;Privé;Feminin;2008 et avant;1
Kairouan;Privé;Feminin;2009;141
Kairouan;Privé;Feminin;2010 et après;20
Kairouan;Libre;Feminin;2009;1
Monastir;Public;Masculin;2009;254
Monastir;Public;Masculin;2010 et après;19
Monastir;Public;Feminin;2008 et avant;1
Monastir;Public;Feminin;2009;486
Monastir;Public;Feminin;2010 et après;48
Monastir;Privé;Masculin;2009;99
Monastir;Privé;Masculin;2010 et après;15
Monastir;Privé;Feminin;2009;123
Monastir;Privé;Feminin;2010 et après;16
Monastir;Libre;Feminin;2009;1
Sousse;Public;Masculin;2009;273
Sousse;Public;Masculin;2010 et après;20
Sousse;Public;Feminin;2008 et avant;2
Sousse;Public;Feminin;2009;465
Sousse;Public;Feminin;2010 et après;47
Sousse;Privé;Masculin;2008 et avant;4
Sousse;Privé;Masculin;2009;182
Sousse;Privé;Masculin;2010 et après;25
Sousse;Privé;Feminin;2008 et avant;3
Sousse;Privé;Feminin;2009;186
Sousse;Privé;Feminin;2010 et après;33
Sousse;Libre;Feminin;2009;3
Nabeul;Public;Masculin;2008 et avant;2
Nabeul;Public;Masculin;2009;330
Nabeul;Public;Masculin;2010 et après;19
Nabeul;Public;Feminin;2008 et avant;6
Nabeul;Public;Feminin;2009;574
Nabeul;Public;Feminin;2010 et après;42
Nabeul;Privé;Masculin;2009;71
Nabeul;Privé;Masculin;2010 et après;8
Nabeul;Privé;Feminin;2008 et avant;1
Nabeul;Privé;Feminin;2009;104
Nabeul;Privé;Feminin;2010 et après;12
Nabeul;Libre;Masculin;2009;1
