CRE;type candidature;genre;Effectif_inscrits
Tunis 1;Libre;Feminin;1
Tunis 1;Libre;Masculin;1
Tunis 1;Privé;Feminin;277
Tunis 1;Privé;Masculin;243
Tunis 1;Public;Feminin;943
Tunis 1;Public;Masculin;572
Tunis 2;Libre;Feminin;1
Tunis 2;Privé;Feminin;193
Tunis 2;Privé;Masculin;139
Tunis 2;Public;Feminin;815
Tunis 2;Public;Masculin;519
Ariana;Libre;Feminin;1
Ariana;Privé;Feminin;212
Ariana;Privé;Masculin;197
Ariana;Public;Feminin;833
Ariana;Public;Masculin;561
Mannouba;Privé;Feminin;127
Mannouba;Privé;Masculin;105
Mannouba;Public;Feminin;698
Mannouba;Public;Masculin;378
Ben Arous;Libre;Feminin;1
Ben Arous;Privé;Feminin;214
Ben Arous;Privé;Masculin;217
Ben Arous;Public;Feminin;1240
Ben Arous;Public;Masculin;801
Zaghouan;Privé;Feminin;30
Zaghouan;Privé;Masculin;25
Zaghouan;Public;Feminin;302
Zaghouan;Public;Masculin;138
Bizerte;Privé;Feminin;180
Bizerte;Privé;Masculin;156
Bizerte;Public;Feminin;877
Bizerte;Public;Masculin;370
Béja;Privé;Feminin;3
Béja;Privé;Masculin;3
Béja;Public;Feminin;522
Béja;Public;Masculin;297
Jendouba;Libre;Masculin;1
Jendouba;Public;Feminin;602
Jendouba;Public;Masculin;283
Siliana;Public;Feminin;355
Siliana;Public;Masculin;210
Le Kef;Public;Feminin;366
Le Kef;Public;Masculin;216
Kasserine;Libre;Feminin;1
Kasserine;Privé;Feminin;74
Kasserine;Privé;Masculin;57
Kasserine;Public;Feminin;555
Kasserine;Public;Masculin;269
Sidi Bouzid;Privé;Feminin;105
Sidi Bouzid;Privé;Masculin;76
Sidi Bouzid;Public;Feminin;485
Sidi Bouzid;Public;Masculin;321
Gafsa;Privé;Feminin;131
Gafsa;Privé;Masculin;101
Gafsa;Public;Feminin;608
Gafsa;Public;Masculin;329
Tozeur;Privé;Feminin;36
Tozeur;Privé;Masculin;40
Tozeur;Public;Feminin;176
Tozeur;Public;Masculin;93
Kébili;Privé;Feminin;23
Kébili;Privé;Masculin;11
Kébili;Public;Feminin;367
Kébili;Public;Masculin;129
Tataouine;Public;Feminin;238
Tataouine;Public;Masculin;146
Médenine;Privé;Feminin;40
Médenine;Privé;Masculin;53
Médenine;Public;Feminin;956
Médenine;Public;Masculin;518
Gabès;Privé;Feminin;51
Gabès;Privé;Masculin;31
Gabès;Public;Feminin;758
Gabès;Public;Masculin;384
Sfax 1;Privé;Feminin;25
Sfax 1;Privé;Masculin;39
Sfax 1;Public;Feminin;965
Sfax 1;Public;Masculin;579
Sfax 2;Libre;Feminin;3
Sfax 2;Privé;Feminin;13
Sfax 2;Privé;Masculin;7
Sfax 2;Public;Feminin;653
Sfax 2;Public;Masculin;381
Mahdia;Privé;Feminin;13
Mahdia;Privé;Masculin;25
Mahdia;Public;Feminin;549
Mahdia;Public;Masculin;298
Kairouan;Libre;Feminin;1
Kairouan;Libre;Masculin;1
Kairouan;Privé;Feminin;249
Kairouan;Privé;Masculin;223
Kairouan;Public;Feminin;546
Kairouan;Public;Masculin;302
Monastir;Libre;Feminin;1
Monastir;Libre;Masculin;1
Monastir;Privé;Feminin;208
Monastir;Privé;Masculin;187
Monastir;Public;Feminin;1089
Monastir;Public;Masculin;607
Sousse;Libre;Feminin;3
Sousse;Privé;Feminin;306
Sousse;Privé;Masculin;313
Sousse;Public;Feminin;968
Sousse;Public;Masculin;541
Nabeul;Libre;Feminin;1
Nabeul;Libre;Masculin;1
Nabeul;Privé;Feminin;178
Nabeul;Privé;Masculin;146
Nabeul;Public;Feminin;1338
Nabeul;Public;Masculin;762
