CRE;type candidature;genre;Effectif_présentés
Tunis 1;Libre;Feminin;1
Tunis 1;Libre;Masculin;1
Tunis 1;Privé;Feminin;209
Tunis 1;Privé;Masculin;180
Tunis 1;Public;Feminin;727
Tunis 1;Public;Masculin;469
Tunis 2;Libre;Feminin;1
Tunis 2;Privé;Feminin;152
Tunis 2;Privé;Masculin;115
Tunis 2;Public;Feminin;645
Tunis 2;Public;Masculin;419
Ariana;Libre;Feminin;1
Ariana;Privé;Feminin;158
Ariana;Privé;Masculin;147
Ariana;Public;Feminin;661
Ariana;Public;Masculin;438
Mannouba;Privé;Feminin;109
Mannouba;Privé;Masculin;86
Mannouba;Public;Feminin;559
Mannouba;Public;Masculin;320
Ben Arous;Libre;Feminin;
Ben Arous;Privé;Feminin;165
Ben Arous;Privé;Masculin;165
Ben Arous;Public;Feminin;954
Ben Arous;Public;Masculin;635
Zaghouan;Privé;Feminin;23
Zaghouan;Privé;Masculin;19
Zaghouan;Public;Feminin;218
Zaghouan;Public;Masculin;108
Bizerte;Privé;Feminin;140
Bizerte;Privé;Masculin;116
Bizerte;Public;Feminin;690
Bizerte;Public;Masculin;288
Béja;Privé;Feminin;2
Béja;Privé;Masculin;3
Béja;Public;Feminin;425
Béja;Public;Masculin;233
Jendouba;Libre;Masculin;1
Jendouba;Public;Feminin;520
Jendouba;Public;Masculin;245
Siliana;Public;Feminin;293
Siliana;Public;Masculin;178
Le Kef;Public;Feminin;299
Le Kef;Public;Masculin;178
Kasserine;Libre;Feminin;1
Kasserine;Privé;Feminin;62
Kasserine;Privé;Masculin;49
Kasserine;Public;Feminin;434
Kasserine;Public;Masculin;215
Sidi Bouzid;Privé;Feminin;85
Sidi Bouzid;Privé;Masculin;58
Sidi Bouzid;Public;Feminin;381
Sidi Bouzid;Public;Masculin;239
Gafsa;Privé;Feminin;111
Gafsa;Privé;Masculin;77
Gafsa;Public;Feminin;515
Gafsa;Public;Masculin;278
Tozeur;Privé;Feminin;32
Tozeur;Privé;Masculin;36
Tozeur;Public;Feminin;153
Tozeur;Public;Masculin;76
Kébili;Privé;Feminin;19
Kébili;Privé;Masculin;8
Kébili;Public;Feminin;274
Kébili;Public;Masculin;100
Tataouine;Public;Feminin;200
Tataouine;Public;Masculin;126
Médenine;Privé;Feminin;37
Médenine;Privé;Masculin;43
Médenine;Public;Feminin;745
Médenine;Public;Masculin;395
Gabès;Privé;Feminin;41
Gabès;Privé;Masculin;26
Gabès;Public;Feminin;624
Gabès;Public;Masculin;318
Sfax 1;Privé;Feminin;14
Sfax 1;Privé;Masculin;27
Sfax 1;Public;Feminin;729
Sfax 1;Public;Masculin;449
Sfax 2;Libre;Feminin;3
Sfax 2;Privé;Feminin;6
Sfax 2;Privé;Masculin;4
Sfax 2;Public;Feminin;501
Sfax 2;Public;Masculin;268
Mahdia;Privé;Feminin;12
Mahdia;Privé;Masculin;22
Mahdia;Public;Feminin;442
Mahdia;Public;Masculin;235
Kairouan;Libre;Feminin;1
Kairouan;Libre;Masculin;
Kairouan;Privé;Feminin;197
Kairouan;Privé;Masculin;172
Kairouan;Public;Feminin;439
Kairouan;Public;Masculin;243
Monastir;Libre;Feminin;1
Monastir;Libre;Masculin;
Monastir;Privé;Feminin;168
Monastir;Privé;Masculin;155
Monastir;Public;Feminin;897
Monastir;Public;Masculin;482
Sousse;Libre;Feminin;3
Sousse;Privé;Feminin;247
Sousse;Privé;Masculin;255
Sousse;Public;Feminin;787
Sousse;Public;Masculin;429
Nabeul;Libre;Feminin;1
Nabeul;Libre;Masculin;1
Nabeul;Privé;Feminin;129
Nabeul;Privé;Masculin;101
Nabeul;Public;Feminin;1001
Nabeul;Public;Masculin;586
